status	axis	repo	path	files	bytes	note
OK	workflow	elijeangilles/revops-skills	research/repos/workflow/elijeangilles__revops-skills	34	852K	
OK	workflow	embetech0/embetech	research/repos/workflow/embetech0__embetech	1	128K	
OK	workflow	EosBot/cpq-paineis-eletricos	research/repos/workflow/EosBot__cpq-paineis-eletricos	540	218836K	
OK	workflow	eracle/OpenOutreach	research/repos/workflow/eracle__OpenOutreach	230	15932K	
OK	workflow	erkininfinity/money-engine-ai	research/repos/workflow/erkininfinity__money-engine-ai	84	1272K	
OK	workflow	ethanplusai/harvey	research/repos/workflow/ethanplusai__harvey	56	856K	
OK	workflow	etrebels/claude-code-growth-os	research/repos/workflow/etrebels__claude-code-growth-os	93	1324K	
OK	workflow	explorium-ai/vibeprospecting-plugin	research/repos/workflow/explorium-ai__vibeprospecting-plugin	23	340K	
OK	workflow	FarzamHejaziK/claude-linkedin-assistant	research/repos/workflow/FarzamHejaziK__claude-linkedin-assistant	23	2252K	
OK	workflow	faysal-aslam/Hubspot_Agent	research/repos/workflow/faysal-aslam__Hubspot_Agent	12	220K	
OK	workflow	felix-0988/lead-enrichment-api	research/repos/workflow/felix-0988__lead-enrichment-api	20	440K	
OK	workflow	felixleezd/cold-message-writer	research/repos/workflow/felixleezd__cold-message-writer	7	6304K	
OK	workflow	fernando-romero-data/fernando-romero-data	research/repos/workflow/fernando-romero-data__fernando-romero-data	3	144K	
OK	workflow	fernandochonqui/gong-call-analysis	research/repos/workflow/fernandochonqui__gong-call-analysis	2	184K	
OK	workflow	fivetran/dbt_hubspot	research/repos/workflow/fivetran__dbt_hubspot	458	9760K	
OK	workflow	fivetran/dbt_hubspot_source	research/repos/workflow/fivetran__dbt_hubspot_source	274	6360K	
OK	workflow	forma-norden/clay-claude-code-skill-pack	research/repos/workflow/forma-norden__clay-claude-code-skill-pack	25	296K	
OK	workflow	freshjuice-dev/freshjuice-dev-hubspot-theme	research/repos/workflow/freshjuice-dev__freshjuice-dev-hubspot-theme	354	68512K	
OK	workflow	frozen-codes/sales-prospecting-automation-bot	research/repos/workflow/frozen-codes__sales-prospecting-automation-bot	60	632K	
OK	workflow	FX8145/sales-forecasting-python	research/repos/workflow/FX8145__sales-forecasting-python	4	4216K	
OK	workflow	GaoDalie/Cold_Email_Langchian	research/repos/workflow/GaoDalie__Cold_Email_Langchian	1	128K	
OK	workflow	Garrettc123/lead-enrichment-engine	research/repos/workflow/Garrettc123__lead-enrichment-engine	28	580K	
OK	workflow	gch549/cold-email-automation-tools	research/repos/workflow/gch549__cold-email-automation-tools	9	2004K	
SKIP	workflow	getaero-io/gtm-eng-skills	research/repos/workflow/getaero-io__gtm-eng-skills	224	3296K	already present
OK	workflow	getaero-io/gtm-signal-scoring	research/repos/workflow/getaero-io__gtm-signal-scoring	242	2648K	
OK	workflow	getlemnos32/b2b-outbound-sniper	research/repos/workflow/getlemnos32__b2b-outbound-sniper	45	8084K	
OK	workflow	getonbrd/pipedrive-connect	research/repos/workflow/getonbrd__pipedrive-connect	78	492K	
OK	workflow	ghostb0x/Apps_Script-Outreach.io-API	research/repos/workflow/ghostb0x__Apps_Script-Outreach.io-API	2	136K	
